,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Severo-Kurilsk,RU,1619221269,50.6789,156.125,2.92,88,97,3.47,overcast clouds
1,Atuona,PF,1619220978,-9.8,-139.0333,26.85,79,28,9.99,scattered clouds
2,Ardakan,IR,1619221590,32.31,54.0175,26.0,18,40,2.06,scattered clouds
3,Mar Del Plata,AR,1619221328,-38.0023,-57.5575,20.56,83,0,4.12,moderate rain
4,Pyaozerskiy,RU,1619221590,65.8333,31.1667,0.57,99,100,1.39,overcast clouds
5,Busselton,AU,1619221263,-33.65,115.3333,16.11,75,93,1.79,overcast clouds
6,Cidreira,BR,1619221252,-30.1811,-50.2056,21.54,79,2,8.04,clear sky
7,Butaritari,KI,1619221214,3.0707,172.7902,27.85,77,82,3.95,light rain
8,Rikitea,PF,1619221200,-23.1203,-134.9692,26.09,68,100,7.15,overcast clouds
9,Mataura,NZ,1619221223,-46.1927,168.8643,11.67,85,77,0.89,broken clouds
10,Bambous Virieux,MU,1619221283,-20.3428,57.7575,26.0,78,40,4.12,light rain
11,Avera,US,1619221257,33.194,-82.5271,20.0,32,40,2.57,scattered clouds
12,Cherskiy,RU,1619221288,68.75,161.3,-4.2,92,100,1.78,light snow
13,Kodiak,US,1619221277,57.79,-152.4072,5.0,81,90,2.06,light rain
14,Puerto Colombia,CO,1619221591,10.9878,-74.9547,26.41,86,76,10.73,broken clouds
15,Kapaa,US,1619221209,22.0752,-159.319,27.0,61,75,6.69,broken clouds
16,Hobart,AU,1619221172,-42.8794,147.3294,12.78,71,40,5.66,scattered clouds
17,Qaanaaq,GL,1619221275,77.484,-69.3632,-7.89,83,99,2.48,overcast clouds
18,Tuktoyaktuk,CA,1619221232,69.4541,-133.0374,-8.0,67,75,5.14,broken clouds
19,Punta Arenas,CL,1619220960,-53.15,-70.9167,7.0,93,75,0.51,broken clouds
20,Albany,US,1619220985,42.6001,-73.9662,13.0,33,20,8.23,few clouds
21,Antofagasta,CL,1619221341,-23.65,-70.4,17.0,72,20,2.57,few clouds
22,Ponta Do Sol,PT,1619221273,32.6667,-17.1,15.56,76,53,1.79,broken clouds
23,Vaini,TO,1619221197,-21.2,-175.2,29.0,79,20,2.57,few clouds
24,Henties Bay,NA,1619221328,-22.116,14.2845,16.67,87,13,2.24,few clouds
25,Loutros,GR,1619221592,40.5883,22.3994,12.78,92,100,0.55,overcast clouds
26,Hilo,US,1619220987,19.7297,-155.09,28.0,54,40,5.66,light rain
27,Plettenberg Bay,ZA,1619221593,-34.0527,23.3716,15.79,91,37,2.06,scattered clouds
28,Port Alfred,ZA,1619220995,-33.5906,26.891,18.93,73,0,9.05,clear sky
29,Myslenice,PL,1619221593,49.8338,19.9383,4.44,81,75,2.57,broken clouds
30,Korla,CN,1619221410,41.7597,86.1469,6.4,58,36,3.36,scattered clouds
31,Narsaq,GL,1619221308,60.9167,-46.05,5.0,60,1,2.57,clear sky
32,Bengkulu,ID,1619221287,-3.8004,102.2655,23.38,88,94,1.6,overcast clouds
33,Yellowknife,CA,1619221210,62.456,-114.3525,-7.78,57,75,4.63,broken clouds
34,Yar-Sale,RU,1619221594,66.8333,70.8333,0.64,98,100,4.54,overcast clouds
35,Hithadhoo,MV,1619221338,-0.6,73.0833,27.84,73,22,3.5,few clouds
36,Roma,US,1619221298,43.2128,-75.4557,14.0,33,1,9.26,clear sky
37,Cape Town,ZA,1619220997,-33.9258,18.4232,14.44,88,0,3.09,clear sky
38,Puerto Ayora,EC,1619221261,-0.7393,-90.3518,25.56,93,45,2.68,scattered clouds
39,Provideniya,RU,1619221294,64.3833,-173.3,5.06,54,71,2.13,broken clouds
40,Port Lincoln,AU,1619221295,-34.7333,135.8667,16.83,64,80,2.84,broken clouds
41,Bonthe,SL,1619221041,7.5264,-12.505,26.21,83,93,2.71,overcast clouds
42,Bluff,NZ,1619221269,-46.6,168.3333,11.67,85,88,0.89,overcast clouds
43,Dwarka,IN,1619221414,22.2394,68.9678,27.19,79,100,4.67,overcast clouds
44,Bristol,US,1619221594,41.8334,-71.1662,13.33,32,39,1.79,scattered clouds
45,Saint-Philippe,RE,1619221284,-21.3585,55.7679,25.0,83,40,7.72,light rain
46,Newport,GB,1619221305,51.5877,-2.9984,10.0,57,95,5.14,overcast clouds
47,Fare,PF,1619221595,-16.7,-151.0167,26.87,72,79,4.75,broken clouds
48,East London,ZA,1619221013,-33.0153,27.9116,17.59,76,9,4.06,clear sky
49,Adrar,MR,1619221261,20.5022,-10.0711,25.51,13,1,4.69,clear sky
50,Blytheville,US,1619221556,35.9273,-89.919,19.0,42,90,4.12,overcast clouds
51,Nikolskoye,RU,1619221010,59.7035,30.7861,2.78,86,40,2.0,scattered clouds
52,Georgetown,MY,1619221182,5.4112,100.3354,26.0,89,40,1.54,moderate rain
